,HO_up,NAFLD_up,NASH_up,diff_w4_up,diff_w8_up,diff_w16_up,diff_w32_up,diff_w48_up,HF12_up,HF18_up,STZ12_up,STZ18_up,MCD4_up,MCD8_up,Pten_up,HF30_up,WTD_up,macaca_ko_up
HO_up,8,5,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
NAFLD_up,5,50,50,4,4,10,10,1,1,1,1,1,4,4,3,1,1,2
NASH_up,8,50,126,5,7,42,38,5,3,2,2,1,10,17,3,6,2,5
diff_w4_up,0,4,5,281,90,95,62,37,4,1,2,3,17,20,9,6,5,24
diff_w8_up,0,4,7,90,412,255,147,113,7,6,8,7,27,33,12,10,13,17
diff_w16_up,0,10,42,95,255,2638,1210,220,26,12,15,8,206,284,23,65,42,40
diff_w32_up,1,10,38,62,147,1210,2238,172,31,15,20,8,171,225,17,51,40,53
diff_w48_up,0,1,5,37,113,220,172,377,5,2,4,2,23,24,5,3,9,13
HF12_up,0,1,3,4,7,26,31,5,151,12,28,14,40,42,9,13,23,7
HF18_up,0,1,2,1,6,12,15,2,12,38,13,12,9,14,7,18,11,2
STZ12_up,1,1,2,2,8,15,20,4,28,13,57,14,19,23,5,13,19,1
STZ18_up,0,1,1,3,7,8,8,2,14,12,14,62,15,20,8,20,15,1
MCD4_up,0,4,10,17,27,206,171,23,40,9,19,15,705,573,11,66,47,7
MCD8_up,0,4,17,20,33,284,225,24,42,14,23,20,573,1099,11,95,46,16
Pten_up,0,3,3,9,12,23,17,5,9,7,5,8,11,11,95,13,15,6
HF30_up,0,1,6,6,10,65,51,3,13,18,13,20,66,95,13,242,34,14
WTD_up,0,1,2,5,13,42,40,9,23,11,19,15,47,46,15,34,132,7
macaca_ko_up,1,2,5,24,17,40,53,13,7,2,1,1,7,16,6,14,7,634
