Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007584~response to nutrient	7	8.13953488372093	3.5478544846990626E-5	ABCG8, IL6ST, LEPR, IGF1, ACSL4, IGFBP2, ASL	80	137	17535	11.199361313868613	0.027742882340235697	0.027742882340235697	0.05438298352464788
GOTERM_BP_DIRECT	GO:0007568~aging	8	9.30232558139535	5.415369520389529E-4	SOCS2, LEPR, LCK, IGFALS, IGF1, IGFBP2, ASL, PPARGC1A	80	315	17535	5.566666666666667	0.3492014446548565	0.19327913418261988	0.827086903643548
GOTERM_BP_DIRECT	GO:0030307~positive regulation of cell growth	5	5.813953488372093	5.85877619202799E-4	EGFR, NOL8, EXOSC2, IGF1, ACSL4	80	85	17535	12.893382352941178	0.37169973943531764	0.14350977009848354	0.8945241954276484
GOTERM_BP_DIRECT	GO:0006629~lipid metabolic process	5	5.813953488372093	6.969494085920388E-4	PNPLA7, ABHD5, ACSL4, LPIN1, PLCXD2	80	89	17535	12.313904494382022	0.42470571312639416	0.12909152800017787	1.0632640740912969
GOTERM_BP_DIRECT	GO:0071392~cellular response to estradiol stimulus	4	4.651162790697675	0.0015687318605532557	EGFR, IGF1, PPARGC1A, ABCG2	80	51	17535	17.191176470588236	0.7120536617498241	0.22041708630338852	2.378377166659773
GOTERM_BP_DIRECT	GO:0042493~response to drug	9	10.465116279069768	0.002566072741349797	ABCG8, CCND1, SLC1A3, DAB1, LCK, IGFBP2, ASL, PPARGC1A, FN1	80	528	17535	3.7361505681818183	0.8696472450870765	0.28793435041556903	3.8628524438779954
GOTERM_BP_DIRECT	GO:0048545~response to steroid hormone	4	4.651162790697675	0.002625031471124747	CCND1, IGF1, IGFBP2, ASL	80	61	17535	14.37295081967213	0.875616649463295	0.25752758735359316	3.949944572135844
GOTERM_BP_DIRECT	GO:0051384~response to glucocorticoid	5	5.813953488372093	0.0030630809831611963	CCND1, GOT1, IGF1, IGFBP2, FN1	80	133	17535	8.240131578947368	0.9122050222761084	0.2622083952625134	4.594712791206224
GOTERM_BP_DIRECT	GO:0007494~midgut development	3	3.488372093023256	0.0032609171784448152	EGFR, DAB1, ASL	80	19	17535	34.608552631578945	0.9249899163341443	0.2500828348868477	4.884581051194125
GOTERM_BP_DIRECT	GO:0010039~response to iron ion	3	3.488372093023256	0.006072557406063914	CCND1, ABCG2, FN1	80	26	17535	25.290865384615387	0.9920152260095028	0.3830836750250999	8.916196943600042
GOTERM_BP_DIRECT	GO:0071333~cellular response to glucose stimulus	4	4.651162790697675	0.007570101294214092	IRS2, IGF1, PPARGC1A, FN1	80	89	17535	9.851123595505618	0.9975846900445263	0.4217862129595318	10.997764965846123
GOTERM_BP_DIRECT	GO:0031100~organ regeneration	4	4.651162790697675	0.008046358463859638	CCND1, APOA5, LPIN1, PRPS1	80	91	17535	9.634615384615385	0.9983493262706176	0.4136749670660307	11.65038039597034
GOTERM_BP_DIRECT	GO:0032496~response to lipopolysaccharide	6	6.976744186046512	0.00863903837783201	TNFRSF9, TLR2, IGF1, ASL, ABCC5, ABCG2	80	280	17535	4.696875	0.9989723914316967	0.41096568817828705	12.45628308575678
GOTERM_BP_DIRECT	GO:0070141~response to UV-A	2	2.3255813953488373	0.017901202043838202	EGFR, CCND1	80	4	17535	109.59375000000001	0.9999993987468943	0.6405429942580025	24.19100045451261
GOTERM_BP_DIRECT	GO:0032869~cellular response to insulin stimulus	4	4.651162790697675	0.01809568198533181	IRS2, GOT1, IGF1, LPIN1	80	123	17535	7.128048780487805	0.9999994861318314	0.6191767563932205	24.420843757215582
GOTERM_BP_DIRECT	GO:0010043~response to zinc ion	3	3.488372093023256	0.02135112371121366	LCK, SLC30A3, ASL	80	50	17535	13.15125	0.9999999630909299	0.6568801692842581	28.172833443424672
