Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0055114~oxidation-reduction process	26	10.655737704918032	5.355700623641135E-7	CYP2B2, ALDH1L1, ETHE1, PGD, ADH7, RRM2B, ALDH1A1, GPX1, TP53I3, CRYL1, PIR, GSTK1, CYP26B1, FASN, AKR7A3, HSD17B6, GAPDH, RGD1309676, CYP1A1, MICAL2, CRYZ, IYD, CYP2C6V1, AKR1D1, BCO2, CYP2C22	218	651	17535	3.212488902042024	7.944704265669955E-4	7.944704265669955E-4	8.887111300426298E-4
GOTERM_BP_DIRECT	GO:0014070~response to organic cyclic compound	16	6.557377049180328	1.5641044989163755E-6	PRKCA, CYP2B2, TF, CYP1A1, MGMT, GSTT1, EPHX1, ACVR1C, ALDH1A1, GPX1, TYMS, CDKN1A, CDKN2B, PLIN2, JUND, ACSL3	218	272	17535	4.7315164597949275	0.002318441145729211	0.001159893249039201	0.002595413797590318
GOTERM_BP_DIRECT	GO:0009636~response to toxic substance	10	4.098360655737705	1.7187385407917064E-5	PRKCA, GPX1, TYMS, CDKN1A, CYP1A1, MGMT, EPHX1, AKR7A3, MBP, TK1	218	119	17535	6.759309228278468	0.02518376155682911	0.008466059076007726	0.028516600905648115
GOTERM_BP_DIRECT	GO:0042493~response to drug	19	7.786885245901639	1.0519454866899943E-4	GSTA1, GSTA3, CYP1A1, MGMT, GSTT1, AK4, ACVR1C, MIF, CYP2C6V1, ALDH1A1, GSTM1, INHBA, TYMS, CDKN1A, CD36, PLIN2, NME1, PTK2B, JUND	218	528	17535	2.8944693494578817	0.1445408372104171	0.038277402823127527	0.17441474854007488
GOTERM_BP_DIRECT	GO:0019915~lipid storage	5	2.0491803278688523	3.201846267556734E-4	PLIN5, CD36, PLIN2, CRY1, ACVR1C	218	27	17535	14.895514780835882	0.37825800469919757	0.09066890860940813	0.5299839986597332
GOTERM_BP_DIRECT	GO:0042178~xenobiotic catabolic process	4	1.639344262295082	3.786755125124587E-4	GSTM1, GSTA1, GSTA3, CRYZ	218	12	17535	26.811926605504585	0.4299669210736815	0.08942299996980729	0.6265151511906208
GOTERM_BP_DIRECT	GO:0001523~retinoid metabolic process	4	1.639344262295082	3.786755125124587E-4	ALDH1A1, ADH1, CES2A, ADH7	218	12	17535	26.811926605504585	0.4299669210736815	0.08942299996980729	0.6265151511906208
GOTERM_BP_DIRECT	GO:0006749~glutathione metabolic process	6	2.459016393442623	4.488650225891669E-4	GSTM1, GSTA1, GPX1, ETHE1, GSTK1, GSTT1	218	52	17535	9.28105151729005	0.4863767383675226	0.09079141805515267	0.7422370664158517
GOTERM_BP_DIRECT	GO:0008202~steroid metabolic process	5	2.0491803278688523	6.250749123436566E-4	CYP2C6V1, SULT2A6, SULT2A2, HSD17B6, SULT2B1	218	32	17535	12.568090596330276	0.6046173322859572	0.10951377971326504	1.0321977039439156
GOTERM_BP_DIRECT	GO:0042573~retinoic acid metabolic process	4	1.639344262295082	9.292942929789754E-4	ALDH1A1, ADH1, CYP26B1, ADH7	218	16	17535	20.108944954128443	0.7483494625984694	0.14212900440533993	1.5309306073640117
GOTERM_BP_DIRECT	GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation	7	2.8688524590163933	0.0016827395440050126	CD36, PTK2B, EFNA1, CD81, NRG1, MIF, THBS4	218	102	17535	5.520102536427416	0.9178566099489616	0.22114383441114227	2.7559688791189974
GOTERM_BP_DIRECT	GO:0007568~aging	12	4.918032786885246	0.0019460392829431829	RTN4, GSTA1, PRKCA, GPX1, TYMS, CYP2B2, GSTA3, CYP1A1, CDKN2B, JUND, MIF, MBP	218	315	17535	3.064220183486239	0.9444646737618877	0.23109986198500398	3.180684362602759
GOTERM_BP_DIRECT	GO:0006739~NADP metabolic process	3	1.2295081967213115	0.004063947225853842	TP53I3, GCK, PGD	218	8	17535	30.163417431192663	0.9976260157354996	0.39564820039214066	6.534123510198475
GOTERM_BP_DIRECT	GO:0033194~response to hydroperoxide	3	1.2295081967213115	0.004063947225853842	GPX1, STX2, TRPM2	218	8	17535	30.163417431192663	0.9976260157354996	0.39564820039214066	6.534123510198475
GOTERM_BP_DIRECT	GO:0043588~skin development	5	2.0491803278688523	0.005068195848081163	DACT2, ARRDC3, DBI, TCF7L1, MIF	218	56	17535	7.181766055045872	0.9994687759820938	0.4401157059324712	8.085788382659874
GOTERM_BP_DIRECT	GO:0048680~positive regulation of axon regeneration	3	1.2295081967213115	0.006425675585776516	STK24, NRG1, MIF	218	10	17535	24.130733944954127	0.9999299618953229	0.49506186648696104	10.144781519908697
GOTERM_BP_DIRECT	GO:0032570~response to progesterone	5	2.0491803278688523	0.006476263410587249	TYMS, ADH1, NRG1, MIF, MBP	218	60	17535	6.702981651376147	0.9999350589665353	0.47418301207312885	10.220667700147267
GOTERM_BP_DIRECT	GO:0042327~positive regulation of phosphorylation	4	1.639344262295082	0.007117218681062179	TF, AR, GCK, MIF	218	32	17535	10.054472477064222	0.9999750769550093	0.4844300829064374	11.176955971696223
GOTERM_BP_DIRECT	GO:0060395~SMAD protein signal transduction	5	2.0491803278688523	0.007687574382642024	INHBA, TF, JADE2, INHBE, GDF15	218	63	17535	6.3837920489296645	0.9999893764544007	0.4901673824807534	12.01985494624298
GOTERM_BP_DIRECT	GO:0006094~gluconeogenesis	4	1.639344262295082	0.007758495454470044	PGAM1, CRY1, PGK1, GAPDH	218	33	17535	9.74979149291076	0.9999904455520648	0.473834300478976	12.124138466090795
GOTERM_BP_DIRECT	GO:0071404~cellular response to low-density lipoprotein particle stimulus	3	1.2295081967213115	0.009272157500862414	CD36, CD81, FGF21	218	12	17535	20.10894495412844	0.9999990085236231	0.516924667318738	14.322349213523179
GOTERM_BP_DIRECT	GO:0009612~response to mechanical stimulus	6	2.459016393442623	0.009476422672198954	PRKCA, CD36, PTK2B, JUND, CLCN6, MIF	218	104	17535	4.640525758645025	0.999999269888624	0.5066337288264338	14.615004003838571
GOTERM_BP_DIRECT	GO:0045471~response to ethanol	8	3.278688524590164	0.010345543473479487	GSTM1, PRKCA, ALDH1A1, TYMS, PTK2B, MGMT, ADH7, CD14	218	193	17535	3.3341255882492753	0.9999998015552272	0.5204432768200242	15.84974088049882
GOTERM_BP_DIRECT	GO:0098869~cellular oxidant detoxification	5	2.0491803278688523	0.010536983868546455	RGD1309676, GPX1, GSTK1, GSTT1, IYD	218	69	17535	5.828679696848824	0.999999851079046	0.5105821447195926	16.119450660221613
GOTERM_BP_DIRECT	GO:0032868~response to insulin	6	2.459016393442623	0.010635844058408367	AR, SCLY, CRY1, MIF, SESN3, ACVR1C	218	107	17535	4.51041755980451	0.9999998716016683	0.4983831149046266	16.258411040047648
GOTERM_BP_DIRECT	GO:0006096~glycolytic process	4	1.639344262295082	0.01231120601409448	GCK, PGAM1, PGK1, GAPDH	218	39	17535	8.24982357092449	0.9999999896183206	0.5351161234485868	18.58069432389978
GOTERM_BP_DIRECT	GO:0045821~positive regulation of glycolytic process	3	1.2295081967213115	0.012578336878356775	GCK, ENTPD5, MIF	218	14	17535	17.236238532110093	0.9999999930508114	0.5282875227701462	18.945332298902073
GOTERM_BP_DIRECT	GO:0006641~triglyceride metabolic process	4	1.639344262295082	0.013190178154299062	GPX1, CD36, DBI, GPAM	218	40	17535	8.043577981651376	0.9999999972301278	0.5313335818453822	19.774731032565217
GOTERM_BP_DIRECT	GO:0006915~apoptotic process	11	4.508196721311475	0.01601459705347734	PRKCA, GPX1, TF, STK24, RHOB, PAK1, UNC5C, GAPDH, CIDEC, ACVR1C, ASAH2	218	366	17535	2.4174687922995943	0.99999999996063	0.5882479661744892	23.50111932505915
GOTERM_BP_DIRECT	GO:0032924~activin receptor signaling pathway	3	1.2295081967213115	0.016320087222411343	INHBA, HFE2, ACVR1C	218	16	17535	15.081708715596331	0.9999999999751662	0.5819275421318175	23.894269838197136
GOTERM_BP_DIRECT	GO:0042981~regulation of apoptotic process	7	2.8688524590163933	0.019307488282835593	INHBA, INHBE, NME1, PAX8, GDF15, CIDEC, ACVR1C	218	170	17535	3.312061521856449	0.9999999999997279	0.6312636388073992	27.640115494279726
GOTERM_BP_DIRECT	GO:0051593~response to folic acid	3	1.2295081967213115	0.02269883763808052	GPX1, TYMS, MGMT	218	19	17535	12.700386286817963	0.9999999999999984	0.6788270626659891	31.682273107308433
GOTERM_BP_DIRECT	GO:0046223~aflatoxin catabolic process	2	0.819672131147541	0.02459804925436944	GSTA3, AKR7A3	218	2	17535	80.43577981651377	0.9999999999999999	0.6964645545219208	33.85225687535653
GOTERM_BP_DIRECT	GO:0001525~angiogenesis	7	2.8688524590163933	0.027147705523640844	RTN4, PRKCA, PTK2B, EFNA1, RHOB, GJA5, ANGPTL4	218	184	17535	3.0600568408456326	1.0	0.7209542989030293	36.66370683922283
GOTERM_BP_DIRECT	GO:0000302~response to reactive oxygen species	3	1.2295081967213115	0.027429792135408325	PRKCA, GPX1, PTK2B	218	21	17535	11.490825688073395	1.0	0.7137079292194182	36.967762281396446
GOTERM_BP_DIRECT	GO:0007166~cell surface receptor signaling pathway	7	2.8688524590163933	0.03247368624909089	CD36, NUP62, PTK2B, PLXNA2, CD81, RGD1565355, MIF	218	192	17535	2.9325544724770642	1.0	0.7632866520198741	42.178284965103394
GOTERM_BP_DIRECT	GO:0001659~temperature homeostasis	3	1.2295081967213115	0.032518767151627846	GPX1, ARRDC3, TRPM2	218	23	17535	10.491623454327883	1.0	0.7538249173168474	42.22297484204657
GOTERM_BP_DIRECT	GO:0045785~positive regulation of cell adhesion	4	1.639344262295082	0.033551682198734854	PRKCA, BAG4, TGM2, NRG1	218	57	17535	5.64461612747465	1.0	0.7550765453741819	43.23808210781114
GOTERM_BP_DIRECT	GO:0001889~liver development	6	2.459016393442623	0.03437178242676377	ALDH1A1, CYP1A1, CDKN2B, EPHX1, AK4, TK1	218	145	17535	3.328377095855742	1.0	0.7541015670468539	44.03208204036054
GOTERM_BP_DIRECT	GO:0051260~protein homooligomerization	7	2.8688524590163933	0.03456484192817279	P2RX5, IKBKE, TGM2, LNX2, ANXA5, ANGPTL4, THBS4	218	195	17535	2.887438249823571	1.0	0.7468387342088473	44.21747347085601
GOTERM_BP_DIRECT	GO:0043408~regulation of MAPK cascade	4	1.639344262295082	0.0350684927645812	INHBA, INHBE, PAK1, GDF15	218	58	17535	5.54729515975957	1.0	0.7429181199194123	44.69840711911422
GOTERM_BP_DIRECT	GO:0006986~response to unfolded protein	3	1.2295081967213115	0.03794545823525704	PARP16, HSPA4L, THBS4	218	25	17535	9.652293577981652	1.0	0.7619278167579427	47.37175349994745
GOTERM_BP_DIRECT	GO:0019373~epoxygenase P450 pathway	3	1.2295081967213115	0.03794545823525704	CYP2C6V1, CYP2B2, CYP2C22	218	25	17535	9.652293577981652	1.0	0.7619278167579427	47.37175349994745
GOTERM_BP_DIRECT	GO:2000134~negative regulation of G1/S transition of mitotic cell cycle	3	1.2295081967213115	0.04077931457500965	CDKN1A, CDKN2B, KANK2	218	26	17535	9.28105151729005	1.0	0.7784155939676334	49.885938942279296
GOTERM_BP_DIRECT	GO:0010033~response to organic substance	6	2.459016393442623	0.04080880057857158	CDKN1A, CYP1A1, PAK1, ANXA5, CAR2, ASAH2	218	152	17535	3.1750965717044908	1.0	0.7705701684978438	49.91149530422289
GOTERM_BP_DIRECT	GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling	6	2.459016393442623	0.04178069073891763	IKBKE, CD36, BST2, NUP62, UNC5CL, TGM2	218	153	17535	3.1543443065299512	1.0	0.7707421831873438	50.74703788322492
GOTERM_BP_DIRECT	GO:0009749~response to glucose	5	2.0491803278688523	0.042699761708959526	GPX1, GCK, PTK2B, GPAM, ACVR1C	218	106	17535	3.7941405573827245	1.0	0.7704874911682621	51.52510637261008
GOTERM_BP_DIRECT	GO:0008285~negative regulation of cell proliferation	10	4.098360655737705	0.04361660766942291	PRKCA, INHBA, CDKN1A, AR, CDKN2B, NUP62, PTK2B, BTG1, KANK2, DPT	218	374	17535	2.150689299906785	1.0	0.7702332105415735	52.28977127957417
GOTERM_BP_DIRECT	GO:0006730~one-carbon metabolic process	3	1.2295081967213115	0.04667619560773125	ALDH1L1, CAR12, CAR2	218	28	17535	8.618119266055047	1.0	0.7860666656307215	54.76029734529746
GOTERM_BP_DIRECT	GO:0035556~intracellular signal transduction	10	4.098360655737705	0.04798987774632737	PRKCA, RP1, NUAK1, PRKCI, SPSB4, RGS7, PAK1, NRG1, ASB5, MCF2L	218	381	17535	2.111175323268078	1.0	0.7883497387745616	55.7837219081665
GOTERM_BP_DIRECT	GO:0071726~cellular response to diacyl bacterial lipopeptide	2	0.819672131147541	0.04859375441117086	CD36, CD14	218	4	17535	40.217889908256886	1.0	0.7856375197887442	56.24683645861286
GOTERM_BP_DIRECT	GO:0072108~positive regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis	2	0.819672131147541	0.04859375441117086	PAX8, GDNF	218	4	17535	40.217889908256886	1.0	0.7856375197887442	56.24683645861286
GOTERM_BP_DIRECT	GO:0006069~ethanol oxidation	2	0.819672131147541	0.04859375441117086	ADH1, ADH7	218	4	17535	40.217889908256886	1.0	0.7856375197887442	56.24683645861286
GOTERM_BP_DIRECT	GO:0060574~intestinal epithelial cell maturation	2	0.819672131147541	0.04859375441117086	TYMS, CDKN1A	218	4	17535	40.217889908256886	1.0	0.7856375197887442	56.24683645861286
