,x
1,Abcd1
2,Adam15
3,Add1
4,Adra1b
5,Afmid
6,Ahcy
7,Ahdc1
8,Akr1c13
9,Amotl2
10,Angptl3
11,Apoa2
12,Aqp11
13,Arhgef19
14,Asb5
15,Atp1a3
16,Bcar1
17,Bche
18,Bco2
19,Bhlhe40
20,C2cd2
21,Cadm1
22,Cd14
23,Cd99l2
24,Cers2
25,Ces2c
26,Ces4a
27,Chpt1
28,Chst13
29,Chst9
30,Col27a1
31,Cpeb4
32,Csrnp2
33,Ctnnbip1
34,Cyp1a1
35,Cyp2c7
36,Cyp2d2
37,Cyp2d4
38,Cyp3a9
39,Dcbld2
40,Def8
41,Dhdds
42,Dmgdh
43,Dpt
44,Dusp1
45,Entpd5
46,Entpd8
47,Ephb6
48,Esr1
49,Ethe1
50,Etnk2
51,Evc2
52,Extl1
53,Fam8a1
54,Fgfr3
55,G0s2
56,Gcat
57,Gchfr
58,Gck
59,Gda
60,Gfod2
61,Ghr
62,Gja5
63,Gnat3
64,Gnmt
65,Gpam
66,Gpd1
67,Gpr137b
68,Gpt
69,Gstm2
70,Gypc
71,Herc3
72,Hist1h2bh
73,Hist1h4b
74,Homer2
75,Hrk
76,Hsd17b6
77,Hsf4
78,Il36b
79,Il4r
80,Inhbe
81,Itga5
82,Iyd
83,Josd2
84,Jph4
85,Kank1
86,Kank2
87,Kcnn2
88,Kdsr
89,Khk
90,Kifc3
91,Lag3
92,Lamb3
93,Leap2
94,Limk2
95,Lingo4
96,LOC100361444
97,LOC367975
98,LOC502176
99,LOC688335
100,LOC691083
101,Lonrf3
102,Lrp5
103,Lrrc20
104,Lrtm2
105,Ltbp4
106,Mab21l3
107,Manea
108,Mast3
109,Mbp
110,Mettl7b
111,Mgat4b
112,Mgll
113,Mgst3
114,Micu3
115,Mid1ip1
116,Mir22
117,Mocos
118,Mxd4
119,Mycl
120,Nabp1
121,Nav2
122,Ntf3
123,Obp1f
124,Olr59
125,Oplah
126,Ormdl3
127,Otub2
128,P2rx5
129,P2ry1
130,Paqr7
131,Pdgfa
132,Per2
133,Perp
134,Pgm1
135,Pnliprp2
136,Ppp1r10
137,Ppp1r3b
138,Prss32
139,Prtg
140,Ptms
141,Ptprn
142,Ptprs
143,Qdpr
144,Rab40b
145,Rcan1
146,Reep6
147,RGD1309534
148,RGD1309676
149,Rhob
150,Rhobtb1
151,Ripk4
152,Rnf181
153,Sardh
154,Scd1
155,Sgcb
156,Shroom3
157,Slc10a2
158,Slc13a4
159,Slc16a13
160,Slc22a4
161,Slc25a10
162,Slc2a5
163,Slc35d1
164,Slc39a4
165,Slc41a2
166,Slco2a1
167,Spink1
168,Spink3
169,Spry4
170,Sri
171,St8sia3
172,Stk40
173,Stx2
174,Sult1a1
175,Sult1b1
176,Tas1r1
177,Tcea3
178,Tecr
179,Thnsl2
180,Thrsp
181,Tjp3
182,Tmem110
183,Tmem25
184,Trpv6
185,Tsc22d1
186,Tsku
187,Ttc21b
188,Ttc36
189,Ttll3
190,Ugt2b17
191,Vangl1
192,Vwce
193,Wdr6
194,Wfdc21
195,Acaa1b
196,Acsl3
197,Acvr1c
198,Adamdec1
199,Adh1
200,Adh7
201,Agap3
202,Ak4
203,Akr1d1
204,Akr7a3
205,Aldh1a1
206,Aldh1l1
207,Amer1
208,Angptl4
209,Anxa5
210,Anxa8
211,Apitd1
212,Ar
213,Arl4d
214,Arpp19
215,Arrdc3
216,Arse
217,Asah2
218,Bag4
219,Bst2
220,Btg1
221,Cacna2d4
222,Car12
223,Car2
224,Ccdc112
225,Ccng1
226,Cd1d1
227,Cd36
228,Cd81
229,Cdkn1a
230,Cdkn2b
231,Ces2a
232,Chrna2
233,Cidec
234,Ckap2
235,Clcn6
236,Coro2a
237,Cry1
238,Cryl1
239,Cryz
240,Csmd1
241,Cubn
242,Cxcl9
243,Cyp26b1
244,Cyp2b2
245,Cyp2c22
246,Cyp2c6v1
247,Dact2
248,Dapp1
249,Dbi
250,Derl3
251,Efna1
252,Ehhadh
253,Elovl6
254,Ephx1
255,Fam49a
256,Fasn
257,Fgf21
258,Gale
259,Galr3
260,Gapdh
261,Gbe1
262,Gdf15
263,Gdnf
264,Gng10
265,Gpx1
266,Gsta1
267,Gsta3
268,Gstk1
269,Gstm1
270,Gstt1
271,H2afy2
272,Hcn3
273,Hfe2
274,Hibch
275,Hnf4g
276,Hs6st2
277,Hspa4l
278,Ifi27l2b
279,Ikbke
280,Inhba
281,Jade2
282,Jakmip2
283,Jund
284,Krt23
285,Lhx8
286,Lilrb4
287,Lin37
288,Lnx2
289,LOC100363193
290,LOC498836
291,Lpar6
292,Lrrc19
293,Mcf2l
294,Med12l
295,Megf9
296,Mgmt
297,Mical2
298,Micalcl
299,Mif
300,Mk1
301,Mok
302,Msl3l2
303,Mybl1
304,Mybl2
305,Mybph
306,Nme1
307,Nrg1
308,Nuak1
309,Nudt7
310,Nup62
311,Olr57
312,Pak1
313,Paqr3
314,Parp16
315,Pax8
316,Pbk
317,Pex11a
318,Pgam1
319,Pgd
320,Pgk1
321,Pgpep1
322,Pir
323,Plbd1
324,Plin2
325,Plin5
326,Plxna2
327,Pnpla5
328,Pnrc1
329,Ppp2r1b
330,Prkca
331,Prkci
332,Psat1
333,Ptk2b
334,Ptprt
335,Ralyl
336,RGD1305464
337,RGD1306151
338,RGD1311756
339,RGD1560010
340,RGD1561849
341,RGD1562136
342,RGD1565355
343,RGD1565616
344,Rgs16
345,Rgs7
346,Rnf11l1
347,Rp1
348,Rpa1
349,Rrm2b
350,Rtn4
351,Scly
352,Sdr16c6
353,Sesn3
354,Sh3bgrl2
355,Slc17a3
356,Slc25a47
357,Slc45a3
358,Sntb1
359,Snx12
360,Spsb4
361,Stk24
362,Stxbp1
363,Sult2a2
364,Sult2a6
365,Sult2b1
366,Svil
367,Tcf7l1
368,Tex36
369,Tf
370,Tgm2
371,Thbs4
372,Tk1
373,Tkfc
374,Tkt
375,Tmcc3
376,Tmem252
377,Tmem97
378,Tmie
379,Tp53i3
380,Trpm2
381,Tyms
382,Unc5c
383,Unc5cl
384,Usp29
385,Ykt6
386,Ypel2
387,Zdhhc2
388,A2m
389,A3galt2
390,Abca2
391,Abca4
392,Abca5
393,Abcb1b
394,Abcc1
395,Abcc3
396,Abcc9
397,Abcg3l3
398,Abi2
399,Abr
400,Abracl
401,Acbd3
402,Ace
403,Acer2
404,Ackr3
405,Acot1
406,Acot2
407,Acot3
408,Acot4
409,Acot9
410,Acta2
411,Actb
412,Actg1
413,Actn3
414,Adam19
415,Adamts12
416,Adamts2
417,Adamts4
418,Adamts9
419,Adap1
420,Adat1
421,Adcy7
422,Adcyap1r1
423,Adgrg1
424,Adgrg2
425,Adm
426,Adm2
427,Adora1
428,Adora2a
429,Adpgk
430,Aebp1
431,Afap1
432,Afap1l2
433,Ago2
434,Agpat3
435,Agpat4
436,Agpat9
437,Agtpbp1
438,Ahnak
439,Aida
440,Aifm2
441,Ajuba
442,Akap12
443,Akap2
444,Akr1b8
445,Akt3
446,Aldh18a1
447,Aldh1a7
448,Aldoa
449,Aloxe3
450,Alpl
451,Ampd3
452,Amz1
453,Angpt1
454,Ankef1
455,Ankrd33b
456,Ankrd37
457,Ankrd39
458,Ankrd6
459,Anks6
460,Ano7
461,Antxr1
462,Anxa1
463,Anxa2
464,Anxa4
465,Anxa7
466,Aoah
467,Aoc1
468,Apaf1
469,Apbb1
470,Apbb1ip
471,Apln
472,Aplnr
473,App
474,Appl2
475,Aqp4
476,Aqp7
477,Arap2
478,Arf2
479,Arfgap3
480,Arg2
481,Arhgap10
482,Arhgap11a
483,Arhgap22
484,Arhgap28
485,Arhgdia
486,Arhgef28
487,Arhgef9
488,Arid3a
489,Arid5a
490,Arl10
491,Arl11
492,Arl4a
493,Arl4c
494,Arl6
495,Arl8a
496,Armc6
497,Armcx2
498,Arntl
499,Arrdc1
500,Arrdc4
501,Asns
502,Aspm
503,Atcay
504,Atf3
505,Atf4
506,Atic
507,Atp10a
508,Atp2b4
509,Aurkb
510,B3galnt1
511,B3gnt2
512,B4galt5
513,B4galt6
514,Basp1
515,Batf
516,Bbs7
517,Bcat1
518,Bcl10
519,Bcl2
520,Bcl2a1
521,Bgn
522,Bicc1
523,Bicd2
524,Bin1
525,Birc3
526,Birc5
527,Blnk
528,Bmp7
529,Bmper
530,Bok
531,Bst1
532,Btbd10
533,Btbd3
534,Btc
535,Btg2
536,Btg3
537,Bub1b
538,Bysl
539,C1qtnf5
540,C1qtnf6
541,C2cd5
542,C5ar1
543,Cab39
544,Cables1
545,Cacna1c
546,Cacnb1
547,Camk2d
548,Capg
549,Capn1
550,Capn2
551,Car13
552,Card10
553,Cars
554,Casc5
555,Casp4
556,Cass4
557,Cbfa2t3
558,Cblc
559,Ccdc120
560,Ccdc19
561,Ccdc64
562,Ccdc68
563,Ccdc8
564,Ccdc92
565,Cchcr1
566,Ccl12
567,Ccl2
568,Ccl21
569,Ccl3
570,Ccl4
571,Ccl7
572,Ccna2
573,Ccne1
574,Ccr1
575,Ccrl2
576,Cd151
577,Cd200
578,Cd24
579,Cd276
580,Cd2ap
581,Cd300e
582,Cd300lb
583,Cd3eap
584,Cd44
585,Cd53
586,Cd55
587,Cd63
588,Cd84
589,Cd8a
590,Cd8b
591,Cd9
592,Cd93
593,Cdc25a
594,Cdc42ep1
595,Cdc42ep2
596,Cdc42ep5
597,Cdc42se1
598,Cdc42se2
599,Cdc7
600,Cdca2
601,Cdca7
602,Cdca8
603,Cdh13
604,Cdh3
605,Cdk14
606,Cdk6
607,Cdkl2
608,Cdkl3
609,Cdkn3
610,Cdr2
611,Cdt1
612,Cdyl2
613,Cebpb
614,Cebpd
615,Cenpi
616,Cenpn
617,Cep55
618,Cep76
619,Cerk
620,Cfap52
621,Cfl1
622,Cftr
623,Cgref1
624,Ch25h
625,Chac1
626,Chchd4
627,Chi3l1
628,Chka
