extracellular exosome,3.85E-41,40.41451771
extracellular matrix,1.58E-30,29.80086885
Disulfide bond,3.22E-28,27.49268218
extracellular space,4.44E-28,27.35216101
Signal,9.52E-28,27.02134925
Phosphoprotein,2.82E-25,24.54940738
Glycoprotein,8.03E-25,24.0953785
Lipoprotein,1.46E-11,10.83517552
inflammatory response,6.51E-11,10.18652634
aging,8.36E-11,10.07793697
MAPK signaling pathway,1.83E-08,7.738487505
TNF signaling pathway,3.12E-08,7.506260507
PI3K-Akt signaling pathway,9.74E-08,7.011645045
Cytokine-cytokine receptor interaction,6.94E-07,6.158818779
cellular response to interleukin-1,5.23E-10,9.281396384
response to hypoxia,1.30E-10,9.886600393
apoptotic process,9.00E-07,6.045749593
