,condition,type,treat
 W4_WT3, W4_WT,W4,untreated
 W4_WT2, W4_WT,W4,untreated
 W4_WT1, W4_WT,W4,untreated
 W4_KO3, W4_KO,W4,treated
 W4_KO2, W4_KO,W4,treated
 W4_KO1, W4_KO,W4,treated
 W8_WT3, W8_WT,W8,untreated
 W8_WT2, W8_WT,W8,untreated
 W8_WT1, W8_WT,W8,untreated
 W8_KO3, W8_KO,W8,treated
 W8_KO2, W8_KO,W8,treated
 W8_KO1, W8_KO,W8,treated
 W16_WT3, W16_WT,W16,untreated
 W16_WT2, W16_WT,W16,untreated
 W16_WT1, W16_WT,W16,untreated
 W16_KO3, W16_KO,W16,treated
 W16_KO2, W16_KO,W16,treated
 W16_KO1, W16_KO,W16,treated
 W32_WT1, W32_WT,W32,untreated
 W32_WT2, W32_WT,W32,untreated
 W32_WT3, W32_WT,W32,untreated
 W32_KO2, W32_KO,W32,treated
 W32_KO3, W32_KO,W32,treated
 W48_WT1, W48_WT,W48,untreated
 W48_WT2, W48_WT,W48,untreated
 W48_WT3, W48_WT,W48,untreated
 W48_KO1, W48_KO,W48,treated
 W48_KO2, W48_KO,W48,treated
 W48_KO3, W48_KO,W48,treated
