#id	W32_KO2	W32_KO3	W32_WT1	W32_WT2	W32_WT3	W48_KO1	W48_KO2	W48_KO3	W48_WT1	W48_WT2	W48_WT3
A1bg	960	2	2	1	7	5	48	8	23	6	1
A1cf	6839	6691	6047	7546	7822	5468	6045	4829	6008	6178	5236
A1i3	211446	203755	711927	895700	756089	320035	425015	399180	535949	793775	862306
A2m	4850	8076	2916	2042	386	4883	2068	977	353	192	431
A3galt2	95	233	23	18	24	13	25	29	25	9	19
A4galt	0	3	0	0	0	0	0	0	0	0	0
AA926063	12	13	18	81	40	32	39	30	55	36	82
Aaas	210	265	150	188	161	158	167	132	140	164	214
Aacs	155	137	55	40	106	84	179	175	83	93	48
Aadac	2338	2136	1266	1579	1914	1883	2441	1465	1405	1522	1900
Aadacl2	0	0	2	0	1	0	0	0	0	0	0
Aadacl3	0	0	0	0	0	0	0	0	0	0	0
Aadat	4517	4044	4738	4858	6991	5117	6968	4798	6222	6488	6761
Aaed1	385	498	572	384	400	457	509	370	398	384	420
Aagab	280	343	239	213	231	225	259	219	194	221	259
Aak1	545	626	462	456	564	381	456	398	375	451	516
Aamdc	230	188	205	263	269	222	242	179	204	246	272
Aamp	3183	3776	2958	2879	2710	2223	2720	2178	2484	2573	3265
Aanat	1	4	5	4	0	2	1	2	1	1	1
Aar2	497	523	404	402	406	344	360	305	389	388	404
Aard	0	0	5	4	1	0	0	0	0	0	1
Aars	6985	9537	7293	4285	4277	5658	6193	5699	5738	4872	7116
Aars2	391	428	411	322	291	246	304	263	245	271	355
Aarsd1	485	536	354	414	387	295	370	343	348	445	427
Aasdhppt	912	969	887	862	874	726	882	702	823	899	968
Aass	5099	4239	7238	7991	9516	6301	9503	7533	5767	4954	9765
Aatf	410	484	291	277	298	265	341	236	277	309	489
Aatk	87	104	50	92	74	60	46	69	82	63	57
Abat	4537	3615	3935	3687	3801	3629	4011	3681	3461	4332	4641
Abca1	8243	7189	7038	7972	7390	6017	7177	6539	6412	7749	7819
Abca13	8	4	7	2	11	5	17	15	3	5	2
Abca15	0	0	0	0	0	0	0	0	0	0	0
Abca17	8	12	8	21	23	10	19	21	15	9	24
Abca2	6476	4296	1724	1632	1137	1457	1349	1502	1532	1294	1736
Abca4	124	179	46	53	57	38	72	58	32	67	98
Abca5	368	442	193	208	211	161	163	117	182	166	192
Abca7	140	154	79	103	93	78	115	135	93	89	71
Abca8a	7506	5612	4791	6170	6838	7404	7979	6329	6377	4964	13567
Abcb10	537	572	545	601	576	377	391	398	462	563	488
Abcb11	17183	21999	28907	18936	19853	23831	29025	20636	25072	19380	17253
Abcb1a	1885	2872	834	576	668	473	820	229	298	687	1168
Abcb1b	13317	15631	593	616	411	2955	8719	626	2333	3372	10321
Abcb4	6024	6660	8001	2001	3321	2228	3398	2127	2488	2541	4323
