Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	353	26.12879349	3.16E-41	"PVR, S100A4, SNCG, LDHA, SLC36A2, S100A6, CADM1, LTBP2, S100A8, LTBP3, CROCC, TUBB2A, LTBP4, S100A9, NR2C2AP, AQP5, FSTL1, SYT7, KIFC3, ACTG1, ACTG2, OGN, APP, HMCN1, CD44, BHLHB9, PLOD2, SERPINE1, PLA1A, VNN1, RAB25, RAPGEF3, FAS, RAB27B, DDAH2, PI16, MVB12B, CLCA4, CRYAB, COLEC12, CD40, MYH9, SIRPA, PLAUR, THY1, KRT19, KRT18, ABCB1A, RAB19, TACSTD2, TXNDC5, F3, LILRB4, PDGFRB, ADAMTS3, SH3GL2, EPS8L1, ALDOA, TPPP3, GCNT3, OLFM4, GNAI1, ENPP4, DAG1, RIMS2, NAGK, TAGLN2, SERPINH1, HADHB, SEMA5A, SERINC2, PFN2, ACE, LAMB2, SPP1, TUBB4B, PLAT, S100A16, LGALS3, LGALS1, CHI3L1, GGH, S100A11, S100A10, TAX1BP3, GAS6, CEL, CD55, LAMA4, LAMA5, HEBP2, MARCKS, FCGBP, RTN4, STEAP4, TM7SF3, MYO7B, FAM3C, GJA1, GPX2, PKM, EFHD1, SEMA3G, SEMA3C, TUBB6, ANGPT1, SEMA3B, FAM129B, FAM129A, DPEP1, FMNL1, ICAM1, ANP32B, ACTA2, VIL1, SLC3A2, CFTR, CLIC1, RFTN1, FLNB, MYADM, SLIT2, FLNA, SERPINB9, MTMR11, BGN, SERPINB5, CLIC5, SERPINB8, SLC26A9, MYO5A, FUT8, RAB3D, CSF1, ABHD6, SERPINB1A, TNXA-PS1, CBR1, EZR, KIRREL, CRISPLD2, FAT1, PPP2CA, PKD2, THBS1, PHLDA3, CAR2, ECI1, LYZ2, CAPN5, COL15A1, RTN4R, IGF2, MXRA8, PCK2, CAPN2, APPL2, SOD2, LSP1, PROM1, CDH13, PLSCR1, ORM1, FBLN1, YWHAH, PLSCR4, FBLN5, CAPG, PHGDH, ABCC1, PSAT1, HPGD, DNM1, CDH11, TSPO, RNF11L1, CSPG4, MMP7, CNP, TSPAN8, SLC7A5, IQGAP1, ST3GAL4, ROBO2, PDGFD, LOC498222, SLC4A4, SPN, LAD1, SPARCL1, STK26, CST3, MRGPRF, BASP1, PCOLCE2, RELT, CPE, AKR1B10, LRRK2, MVP, SRI, FXYD3, PPIL1, EAR11, ITGB4, GIPC2, ATP6V1B2, TIMP3, ITGB1, SRC, ITGAM, TIMP1, ITGB8, PPL, ITGB7, ITGB6, NDRG1, ARHGDIA, B4GALT1, MUC1, LPL, CACNA2D1, CUBN, MYO1C, PODXL, EFEMP2, FSCN1, SPTBN4, CPNE7, MYO1G, CD276, ITGA4, MYL12A, ADGRG2, ADGRG1, REEP5, LCN2, URM1, CORO1A, FREM2, CDC42SE2, MYH9L1, CYFIP2, MYH11, FABP4, CPNE2, MYH14, ANTXR1, WDR1, SLC5A10, PLEKHA1, MYH10, RHOJ, AEBP1, MLPH, SLC5A1, CLDN5, DUOX2, ACOT2, NCS1, RHOQ, BCAM, PTMA, EPCAM, WARS, SLC1A5, WISP2, DES, GPC3, PCBP3, GSN, CLCF1, ACOT11, RHOB, LOXL4, RHOC, MSN, LBP, CYS1, TUBA1A, TUBA1B, AHNAK, PPP2R1B, PRKCA, EPN3, KIF12, STXBP1, PFKP, SPINT1, PADI2, ATP6V1D, ALDH3B1, SDC1, EVPL, IGF2R, LCK, SNX12, PRNP, AOC1, LCP1, GALNT7, VIM, GPRC5B, GPRC5A, TPM4, CDH6, PRSS8, ALDH1A1, CD9, ANXA7, UGT1A9, ALDH1A3, KRT8, TGM2, HS6ST2, PLCD1, SLC39A5, COL8A1, VPS36, EHD2, MYOF, EHD4, ACTB, PLP2, SNX29, CR2, OLR1, SLC12A2, TMC5, FBN1, TMC4, ALYREF, ANXA1, CREB5, DPYSL2, TMBIM1, HID1, COTL1, COL5A3, ANXA5, COL5A1, ANXA2, A1BG, VWF, SH3BP4, SNED1, H2AFY2, SH3BGRL2, SLC5A9, METRNL, APAF1, SPTAN1, DMBT1"	1240	2646	18520	1.99252676	2.00E-38	2.00E-38	4.70E-38
UP_KEYWORDS	Disulfide bond	270	19.98519615	4.63E-27	"PVR, LTBP1, CADM1, PTGS2, LTBP2, OSMR, ATP1B2, LTBP3, VTCN1, LTBP4, FST, EDN1, FSTL1, ADORA1, NOV, BDNF, APP, HMCN1, CD44, CLEC4E, SEMA7A, PLA2G1B, PLA1A, FAS, IZUMO1, RAB27B, CELA3B, C5AR1, CD3D, MDGA1, COLEC12, PTPRN, SIRPA, PLAUR, THY1, CD36, SSTR3, GPBAR1, TACSTD2, TXNDC5, F3, CX3CR1, PDGFRB, LAMC2, MST1R, ADAMTS3, PLA2G2D, ADAMTS2, ADAMTS4, DCBLD2, GCNT3, IL1R1, ERBB2, ELN, BDKRB2, SEMA5A, LAMB3, LAMB2, IL23A, BMP4, PLAT, LGALS3, IL1RL1, CHI3L1, S100A11, KCNK1, MCAM, GAS6, ABCG2, NOTCH3, CEL, LAMA4, CD55, SRPX2, SFRP2, LAMA5, HEPH, BMP7, CD200, TLL1, NRP2, FAM3C, GJA1, CUZD1, MMP28, EDNRB, SRPX, SEMA3G, SEMA3F, MAPT, SEMA3E, PRSS32, SEMA3C, ANGPT1, SEMA3B, DPEP1, IL13RA2, ICAM1, SLC3A2, ARTN, ACKR3, CLIC1, MMP13, SLIT2, MMP12, BGN, INHBE, VCAN, SUSD3, SEMA4A, CXCL1, GPR183, FUT8, CSF1, CXCL9, PSAPL1, CXCL6, TNXA-PS1, SPEG, KIRREL, FAT1, SLCO3A1, THBS1, LYZ2, PNLIPRP2, PTPRZ1, COL15A1, RTN4R, NLGN3, GRIA3, IGF2, FZD2, MXRA8, CELA1, NIACR1, FZD6, GJB2, ORM1, FBLN1, FBLN5, TENM3, MEGF6, PRSS22, WNT7A, SELE, VLDLR, ASPN, PLXNA3, PDGFB, PDGFA, F2RL1, MMP8, GRIK5, CSPG4, MMP3, SLC7A5, VIPR2, CXCL10, NRCAM, PTGIR, ST3GAL2, UNC5B, ST3GAL4, CPA2, PDGFD, CPA1, SLC4A4, SPARCL1, SCUBE1, CST3, FGF23, SLC34A2, PCOLCE2, IGSF1, SSC5D, IGSF9, WNT5A, FGFR2, CCL3, CCL2, EAR11, PAMR1, PTK7, ITGB4, CX3CL1, TIMP3, CCL4, ITGB1, CCL7, TIMP1, P2RY2, CTRC, ITGB6, MFAP3L, ADRA2B, B4GALT6, B4GALT4, CTRL, GABRP, LPL, CACNA2D1, CUBN, EFEMP2, CD276, TPBG, P2RX5, LCN2, GPR37, P2RX1, CXCL16, PRKAR1B, ADM2, ANTXR1, CACNA1C, CPB1, SCARA5, LEPR, SLC5A1, CXCR2, BCAM, EPCAM, GSN, CNTNAP1, LOXL4, LBP, NRG1, RT1-M4, PTGER4, WBSCR17, SPINT1, AMY2A3, CHRM3, IGF2R, PRNP, AOC1, AOC3, TNFRSF21, TNF, GALNT7, GALNT6, HS3ST1, FCNB, DCN, MCPT1L1, SCARF2, PRSS8, SMOC2, CD9, IGF1R, FCMR, LEFTY2, CD2, CD6, CD5, COL4A1, CR2, IL2RA, OLR1, FBN1, ANXA1, FRZB, A1BG, NBL1, VWF, PRLR, SNED1, LIPH, CELA2A, F2R, DMBT1"	1337	2199	20793	1.909520306	1.68E-24	1.68E-24	6.36E-24
UP_KEYWORDS	Signal	365	27.01702443	2.15E-25	"PVR, LYPD1, LOC688452, LTBP1, CADM1, LTBP2, PTGS2, OSMR, LTBP3, VTCN1, LTBP4, FST, EDN1, FSTL1, NOV, OGN, BDNF, APP, HMCN1, CD44, PLOD2, SEMA7A, SERPINE1, PLA2G1B, PLA1A, VNN1, IZUMO1, HTRA3, FAS, PI16, ROS1, RECK, CELA3B, CLCA2, CLCA4, CD3D, CD3E, MDGA1, OLFML2B, OLFML2A, CD40, PTPRU, PTPRN, SIRPA, PLAUR, THY1, CD34, TACSTD2, F3, TXNDC5, LILRB4, PDGFRB, LAMC2, MST1R, EFNA4, ADAMTS3, PLA2G2D, ADAMTS2, ENPP5, DCBLD2, OLFM4, IL1R1, ERBB2, ELN, DAG1, SORCS1, EPHB3, SERPINH1, SORCS2, ITGBL1, EPHB2, SEMA5A, SERINC2, ACE, LAMB3, IL23A, LAMB2, WFDC21, SPP1, BMP4, PLAT, NPB, IL1RL1, CHI3L1, GGH, COL16A1, MCAM, TRIL, PCDH17, GUCY2C, GAS6, NOTCH3, CEL, EPHA4, CD55, LAMA4, CYP17A1, SRPX2, SFRP2, LAMA5, FJX1, HEPH, FCGBP, BMP7, TMEM119, CD200, TLL1, NRP2, TM7SF3, FAM3C, CUZD1, CDCP1, MMP28, ART4, EDNRB, CGREF1, SRPX, SEMA3G, SEMA3F, SEMA3E, PRSS32, SEMA3C, SYNJ2, VWA7, ANGPT1, CYP2C12, SEMA3B, DPEP1, IFNLR1, IL13RA2, CEACAM20, ICAM1, CAR12, SDK2, ARTN, CYYR1, MMP13, RGD1311946, SLIT2, MMP12, BGN, INHBE, PLA2G7, CYP2C24, VCAN, VOPP1, FKBP10, FKBP11, SEMA4A, CXCL1, SLC39A10, CSF1, CXCL9, PSAPL1, CXCL6, PCDHB12, NPDC1, CCL21, KIRREL, CRISPLD2, FAT1, CD24, THBS1, LYZ2, PNLIPRP2, PTPRZ1, COL15A1, RTN4R, NLGN3, GRIA3, IGF2, FZD2, MXRA8, CELA1, FZD6, GJB2, DKK4, PROM1, CCL12, CDH13, ORM1, DKK3, FBLN1, FBLN5, MEGF6, PRSS22, SELE, WNT7A, CDH11, VLDLR, PLXNA3, MICB, TUSC3, PDGFB, PDGFA, MMP8, F2RL1, CSPG4, MMP7, GRIK5, IL17RE, ILDR1, MMP3, VIPR2, CXCL10, LOC302022, SCTR, NRCAM, UNC5B, LRRC52, CPA2, CSF3R, LGI4, ROBO2, PDGFD, CPA1, SPN, PQLC3, SPARCL1, ERP27, SCUBE1, CST3, FGF23, FGF21, PCOLCE2, TNS4, TNFAIP6, RELT, CPE, IGSF1, IGSF3, SSC5D, IGSF9, WNT5A, FXYD3, CCL3, CCL2, TNFRSF12A, EAR11, PAMR1, MAP4K2, ITGB4, CX3CL1, FXYD5, TIMP3, ITGB1, CCL4, CCL7, ITGAM, TIMP1, ITGB8, CTRC, ITGB7, ITGB6, MFAP3L, GABRP, CTRL, MUC1, LPL, CACNA2D1, CUBN, PODXL, EFEMP2, CD276, ADGRG2, TPBG, ADGRG1, LCN2, CES2J, ITGA6, GPR37, THSD1, FREM2, CXCL16, CES2A, ADM2, CES2C, ANTXR1, CPB1, ADGRF3, AEBP1, CLSTN2, CLDN6, LEPR, DUOX2, CLCA4L, BCAM, PDCD1, EPCAM, WISP2, GPC3, FRMD8, GSN, CLCF1, CNTNAP1, LOXL4, LBP, LOXL1, IFNGR2, LTB, VSIG10, RT1-M4, PARM1, SPINT1, AMY2A3, TNFRSF9, CD83, SDC1, LOC100365112, IGF2R, TREM1, JAM2, PRNP, AOC1, TREM3, TNFRSF21, TNC, HS3ST1, CRLF1, FCNB, DCN, GPRC5B, CDH3, MCPT1L1, CDH6, SCARF2, PRSS8, SMOC2, IGF1R, UGT1A9, TMEM154, UGT1A2, FCMR, LEFTY2, CD2, IL2RG, SLC39A5, GPNMB, CD6, COL8A1, CD5, COL4A1, PLET1, PTPRE, CR2, IL2RA, FBN1, FRZB, COL5A3, COL5A2, COL5A1, A1BG, VWF, NBL1, SNED1, PRLR, SULF1, LIPH, METRNL, CELA2A, RCN3, RCN1, RCN2, F2R, DMBT1"	1337	3420	20793	1.659787558	7.82E-23	3.91E-23	2.96E-22
UP_KEYWORDS	Glycoprotein	255	18.87490748	4.56E-24	"LYPD1, SYT1, LTBP1, SCN3A, PTGS2, LTBP2, OSMR, ATP1B2, VTCN1, FST, AQP5, AQP4, FSTL1, ADORA1, NOV, S1PR2, BDNF, APP, CD44, TRAK2, CLEC4E, PLOD2, CH25H, SERPINE1, PLA1A, CREB3L4, FAS, IZUMO1, ROS1, C5AR1, CD3D, CRYAB, MDGA1, COLEC12, PTPRN, SIRPA, PLAUR, THY1, MGAT3, CD36, KRT18, SSTR3, GPBAR1, ABCB1B, TACSTD2, F3, PDGFRB, PMP22, ADAMTS4, DCBLD2, ENPP5, GCNT3, IL1R1, ERBB2, BDKRB2, SERPINH1, ITGBL1, SEMA5A, ACE, SLC29A3, LAMB2, SPP1, TMEM120A, BMP4, PLAT, IL1RL1, RHBDF1, CHI3L1, GGH, KCNK1, TRIL, GUCY2C, MCAM, GAS6, ABCG2, NOTCH3, CEL, SRPX2, HEPH, CD200, NRP2, TM7SF3, TRPV2, BSCL2, CUZD1, EDNRB, VWA7, ANGPT1, DPEP1, IL13RA2, ICAM1, SLC3A2, ARTN, CFTR, ACKR3, MMP13, RGD1311946, SLIT2, MMP12, BGN, SERPINB5, INHBE, VCAN, GPR183, CSF1, PCDHB12, KIRREL, FUT4, FUT1, SLCO3A1, CD24, PNLIPRP2, PTPRZ1, RTN4R, NLGN3, GRIA3, FZD2, MXRA8, ORM1, ABCC9, FBLN5, ABCC3, ABCC1, SELE, VLDLR, PLXNA3, TSPAN2, PDGFB, PDGFA, F2RL1, MMP8, GRIK5, CSPG4, IL17RE, MMP3, SLC7A5, VIPR2, SCTR, NRCAM, PTGIR, ST3GAL2, UNC5B, ST3GAL4, B3GALNT1, PDGFD, ELOVL6, SLC4A4, SLC4A3, SPN, A3GALT2, SPARCL1, FGF23, MRGPRF, SLC34A2, CPE, IGSF1, EMP3, IGSF9, EMP1, WNT5A, CCL2, EAR11, ITGB4, ABCA2, CX3CL1, ITGB1, CCL7, TIMP1, P2RY2, CTRC, ITGB6, MFAP3L, B4GALT6, B4GALT4, GABRP, LPL, CACNA2D1, CUBN, PODXL, CD276, ADGRG2, ADGRG1, TPBG, P2RX5, LCN2, FAM198B, GPR37, P2RX1, CXCL16, SLC7A1, ANTXR1, CACNA1C, LRRC8E, AEBP1, CLSTN2, LEPR, SLC5A1, DUOX2, CXCR2, BCAM, EPCAM, WISP2, SLC1A2, GPC3, CNTNAP1, LBP, ANO7, NRG1, KCNQ1, PARM1, PTGER4, PFKP, CHST1, TMEM67, SDC1, CHRM3, PRNP, AOC1, AOC3, TNFRSF21, TNF, HS3ST1, VIM, FCNB, RHBG, DCN, CDH6, PRSS8, CD9, APLNR, IGF1R, UGT1A2, KRT8, CD2, PLCD1, GPNMB, CD5, SYNPO, PLET1, PTPRE, IL2RA, NCEH1, OLR1, SLC10A2, TSPAN17, A1BG, VWF, PRLR, SNED1, SULF1, LIPH, METRNL, SLC14A1, F2R, DMBT1"	1337	2123	20793	1.86799596	1.66E-21	5.53E-22	6.27E-21
GOTERM_CC_DIRECT	GO:0005615~extracellular space	179	13.24944486	1.10E-20	"S100A4, LTBP1, PDGFB, S100A8, LTBP2, PDGFA, LTBP4, S100A9, MMP8, EDN1, MMP7, FSTL1, CNP, MMP3, CXCL10, ACTG1, ACTG2, OGN, BDNF, APP, SEMA7A, SERPINE1, CPA2, PLA2G1B, VNN1, LGI4, FAS, PDGFD, CPA1, PI16, SPN, CELA3B, SPARCL1, MDGA1, SCUBE1, CST3, FGF23, FGF21, CD40, TNFAIP6, CD36, CPE, TACSTD2, F3, LAMC2, ADAMTS3, LRRK2, SSC5D, ADAMTS4, ALDOA, WNT5A, IL1R1, CCL3, OLFM4, CCL2, EAR11, ELN, ITGB4, DAG1, CX3CL1, TIMP3, SERPINH1, CCL4, CCL7, ITGAM, TIMP1, ACE, IL23A, WFDC21, ARHGDIA, SPP1, PLAT, MUC1, BMP4, B4GALT1, LPL, CPA6, LGALS3, IL1RL1, PODXL, LGALS1, CHI3L1, S100A11, GGH, MCAM, GAS6, LCN2, CEL, CES2J, SRPX2, SFRP2, LAMA5, CXCL16, FJX1, CPB1, BMP7, AEBP1, LEPR, MTHFD2, WISP2, GSN, SEMA3G, SEMA3F, SEMA3E, SEMA3C, SEMA3B, ANGPT1, MSN, NOS2, LBP, NRG1, LTB, DPEP1, ICAM1, AIFM2, ACTA2, SPINT1, ARTN, AMY2A3, CLIC1, MMP13, SLIT2, TNFRSF9, SERPINB9, LOC100365112, INHBE, SERPINB5, IGF2R, SERPINB8, PLA2G7, VCAN, AOC1, LCP1, AOC3, CXCL1, TNF, CSF1, TNC, SERPINB1A, CXCL9, PSAPL1, CXCL6, DCN, GPRC5B, PRSS8, CD9, EZR, CCL21, THBS1, CAR2, ACTB, LYZ2, PNLIPRP2, PTPRZ1, FBN1, ANXA1, COL15A1, IGF2, NLGN3, ANXA5, CELA1, FRZB, ANXA2, PROM1, A1BG, CCL12, CDH13, ORM1, VWF, FBLN1, FBLN5, SULF1, LIPH, METRNL, CELA2A, SELE, WNT7A, DMBT1, VLDLR"	1240	1316	18520	2.031498186	6.98E-18	3.49E-18	1.64E-17
UP_KEYWORDS	Phosphoprotein	385	28.49740933	7.87E-18	"SYT1, KIFC1, SNCG, LDHA, LTBP1, TUBB2B, SCN3A, PDLIM7, LTBP2, TUBB2A, S100A9, PDLIM4, AQP4, AQP7, CCDC146, FSTL1, SYT7, CTTNBP2, APP, ATP2B4, USP54, CD44, PPP1R1B, PLOD2, IZUMO1, FAS, RAPGEF3, ROS1, YARS, MAGI3, C5AR1, CD3D, NCF2, KIF5A, CRYAB, DCDC2, PTPRN, MYH9, SIRPA, THY1, REC8, KRT19, UHRF1, KRT18, SSTR3, TAGLN, PTRF, LCA5, ZWINT, MAPK4, CX3CR1, PDGFRB, TGFB1I1, DBN1, UNC13B, ADD3, NEK6, SH3GL2, ALDOA, DCBLD2, PALM, IL1R1, ARHGEF28, ERBB2, HSPA1A, KRT20, BDKRB2, RIMS2, TAGLN2, NAGK, SERPINH1, ACE, SLC29A3, CDC42EP1, LAMB2, SPATS1, FBXO6, PPP2R2B, TCF3, HAP1, TUBB4B, SPP1, GPD2, BMP4, LGALS3, LGALS1, SPHK1, RHBDF1, S100A11, KCNK1, TRIL, MCAM, GAS7, FAM131B, GGN, GAS6, NOTCH3, KCNJ8, RGS4, DZIP1L, MAP2, HEPH, MARCKS, MAP6, GRK5, RTN4, LZTS2, SLC20A1, RGD1311739, TRPV2, BSCL2, GJA1, NFKB1, KCNIP4, CAMKK2, PKM, CCNE1, EDNRB, CGREF1, MAPT, SYNJ2, NOS2, FAM129B, LMOD1, FAM129A, STX1A, SLC25A4, ANP32B, LOC308990, TP53, SLC3A2, CFTR, ACKR3, CLIC1, FLNC, STX1B, MMP13, PDCL3, MYRIP, PSEN2, ESRP1, RIN1, VCAN, MYO5A, GPR183, PHLDB1, YPEL4, FUT8, SERPINB1A, HK1, FHL2, RTKN, POLA2, GJC2, HDGFRP3, CBR1, EZR, KIRREL, PTK2B, SPEG, BCL2, ANKS6, PPP2CA, APBA2, AFAP1, CAR2, RASA2, CAP2, MAT2A, PTPRZ1, ATP1A3, LMNA, GRIA3, NLGN3, MXRA8, ITPR3, NIACR1, MARCH3, PLSCR1, RAB31, YWHAH, GFPT2, CAPG, ABCC3, PHGDH, SH3RF2, NOP58, ABCC1, APBB1, DNM1, PLXNA3, SHTN1, RBM3, F2RL1, CSPG4, CNP, SLC7A5, NRCAM, FNTB, PACSIN1, PTGIR, UNC5B, CDKN2B, MYOCD, PDE4A, STK39, LOC498222, SLC4A4, SLC4A3, SPN, SAMD4A, SPARCL1, PRKAB2, CHP2, TMSB10, BASP1, DDIT3, TNNT2, TNS4, TRIM35, RASGRF2, ARRB1, REM2, PDE5A, RIPK3, CLIP2, VAMP1, IGSF9, AKAP2, MVP, TSHZ3, CAV1, ITGB4, ABCA2, ITGB1, SRC, MYL9, TIMP1, NDRG1, MFAP3L, RUNX1, ARHGDIA, PHACTR2, CACNA2D1, CUBN, MYO1C, KCNB1, PODXL, FSCN1, MYL12A, MUSTN1, ADGRG2, TPBG, PLEKHA4, CORO1A, ATF4, ATF3, P2RX1, CDC42SE2, SLC7A1, GTF2F1, PRKAR1B, MYH11, HIVEP2, FABP4, WDR1, ANTXR1, CACNA1C, MYH10, CLDN7, LEPR, SLC5A1, DPH6, PRRX1, ACOT1, PPIP5K1, CXCR2, BCAM, RHOV, PTMA, WARS, PRMT1, SLC1A2, CASP3, GPC3, KCNQ3, DES, FSIP1, GSN, BOK, FRMD8, HDC, RHOB, CNTNAP1, MSN, LRRFIP1, PAK1, TUBA1A, KCNQ1, IMPDH1, PPP1R14B, FOSL1, TUBA1B, PRKCA, TRPM4, EPN3, PARM1, NOL3, PTGER4, LIMK2, LIMK1, FILIP1, PFKP, STXBP1, MPP7, DYNLT1, TBCEL, NEXN, RGD1304694, SDC1, CHRM3, XIRP2, LCK, GPAM, ZFP367, PSMB10, TNF, CAMK2G, VIM, ASNS, TPM2, VARS, TPM1, TPM4, CDH6, NDC1, ALDH1A1, N4BP3, IGF1R, TSC22D4, FCMR, SYN3, KRT8, MYBPH, CAMK2D, ZC3H12A, PLCD1, ALDH1A7, CNN1, UCK2, GPNMB, CD5, EHD2, DCLK1, SYNPO, GIMAP4, NES, PTPRE, NCDN, MAP1A, TMC5, MAP1B, ANXA1, RGD1564664, DPYSL2, ANXA5, COTL1, SLC10A2, AMPD3, RGS14, CDC25A, ANXA2, AJUBA, CADPS, SH3BP4, KCNN4, RGD1359127, IRF1, PSPC1, JAK3, SMPD3, DMBT1, SPTAN1, F2R, RCN2"	1337	4047	20793	1.479494215	2.86E-15	7.16E-16	1.08E-14
GOTERM_CC_DIRECT	GO:0009986~cell surface	102	7.54996299	9.94E-18	"PVR, PDGFB, PDGFA, CSPG4, MMP7, APP, CD44, PLA2G1B, ROBO2, FAS, ROS1, SPN, C5AR1, CRYAB, SCUBE1, CD40, THY1, CD36, ABCB1A, CD34, F3, IGSF3, PDGFRB, MST1R, VAMP1, CLEC5A, EMP2, FGFR2, WNT5A, DCBLD2, IL1R1, CAV1, TNFRSF12A, ITGB4, CX3CL1, ITGB1, ITGAM, ITGB8, ITGB7, B4GALT1, MUC1, PLAT, LPL, LGALS3, IL1RL1, LGALS1, ITGA4, ADGRG2, TPBG, EPHA4, CEL, CD55, SRPX2, THSD1, ITGA6, ITGA8, ANTXR1, SCARA5, CLSTN2, TRPV2, BCAM, CXCR2, EPCAM, SLC1A2, WISP2, KCNQ3, MSN, LBP, ICAM1, SLC3A2, ACKR3, CFTR, SLC7A11, SLIT2, SDC1, BGN, IGF2R, SLC26A9, VCAN, PRNP, AOC3, TNF, GPRC5B, CD9, FCMR, CD2, FUT4, CD24, THBS1, CAPN5, IL2RA, RTN4R, ANXA1, NLGN3, MXRA8, ANXA2, PROM1, PRLR, SULF1, WNT7A, F2R, VLDLR"	1240	612	18520	2.489247312	6.29E-15	2.10E-15	1.48E-14
GOTERM_CC_DIRECT	GO:0045121~membrane raft	61	4.515173945	2.74E-17	"GJA1, RHOQ, IQGAP1, EDNRB, APP, CASP3, KCNQ3, MALL, UNC5B, SYNJ2, ANGPT1, FAS, CYS1, KCNQ1, AHNAK, PPP2R1B, PRKCA, ICAM1, RFTN1, MYADM, THY1, CD36, CPE, PTRF, LCK, PRNP, LRRK2, EMP2, CAV1, TNF, GNAI1, ERBB2, DAG1, HK1, GPRC5B, ITGB1, SERPINH1, PRSS8, EZR, PTK2B, KIRREL, CD2, PLCD1, CD24, OLR1, MYO1C, PODXL, ARID3A, S100A10, MAL, CAPN2, BIRC3, ADGRG1, ANXA2, CEL, KCNN4, PLSCR1, CD55, P2RX1, SULF1, SELE"	1240	266	18520	3.425054572	1.73E-14	4.33E-15	4.07E-14
GOTERM_MF_DIRECT	GO:0005515~protein binding	193	14.28571429	2.49E-16	"S100A4, SNCG, KIFC1, SYT1, LDHA, PTGS2, PDLIM7, SCN3A, FST, ADORA1, APP, TRAK2, CD44, RAPGEF3, FAS, RAB27B, MAGI3, KIF5A, CRYAB, KIF5C, POLB, CD40, MYH9, SIRPA, THY1, KRT19, REC8, CD36, PTRF, ABCB1A, ABCB1B, ZWINT, PDGFRB, LAMC2, TGFB1I1, DBN1, ADD3, UNC13B, SH3GL2, ALDOA, IL1R1, GNAI1, ERBB2, DAG1, HSPA1A, BDKRB2, RIMS2, PPP2R2B, TCF3, HAP1, TUBB4B, KLF5, TRPC6, SPHK1, S100A10, EPHA4, KCNJ8, PKP2, MAP2, MAP6, RTN4, LZTS2, TRPV2, GJA1, NFKB1, NFKB2, KCNIP4, PKM, MAPT, SYNJ2, STX1A, ANP32B, SLC25A4, TP53, ARHGEF9, STX1B, SLIT2, FLNA, MYRIP, MYO5A, RAP1GAP, RAB3D, FHL2, HK1, CBR1, EZR, KIRREL, PTK2B, PPP2CA, ANKS6, BCL2, APBA2, AFAP1, CAR2, TES, PTPRZ1, LMNA, ATP1A3, GRIA3, IGF2, FZD2, CAPN2, ITPR3, GJB2, ABCC9, RAB31, YWHAH, FBLN5, NOP58, WNT7A, APBB1, DNM1, TSPO, SHTN1, RBM3, F2RL1, GRIK5, IQGAP1, FNTB, PACSIN1, MYOCD, UNC5B, ST3GAL4, TIAM1, PDE4A, CPA2, STK39, CHP2, DDIT3, RASGRF2, CPE, ARRB1, CLIP2, VAMP1, MVP, TSHZ3, CAV1, SOX9, ITGB1, SRC, WT1, P2RY2, ARHGDIA, CACNA2D1, KCNB1, PODXL, FSCN1, ITGA4, P2RX1, MYH9L1, GTF2F1, FABP4, CACNA1C, MYH10, NCS1, RHOV, PRMT1, CASP3, BOK, CNTNAP1, PAK1, TUBA1A, KCNQ1, TRPM4, PRKCA, NOL3, STXBP1, AMY2A3, DYNLT1, SDC1, BSPRY, CHRM3, ZFPM2, VIM, EGLN3, IGF1R, CD9, SYN3, KRT8, TGM2, CAMK2D, PLCD1, ACTB, NCDN, MAP1A, MAP1B, DPYSL2, ANXA5, RGS14, IRF1, APAF1, SMPD3, SPTAN1"	1128	1589	16650	1.792827685	2.67E-13	2.67E-13	3.55E-13
GOTERM_CC_DIRECT	GO:0031012~extracellular matrix	58	4.29311621	3.29E-16	"ASPN, AEBP1, LTBP1, LTBP2, PDGFB, LTBP3, LTBP4, MMP8, S100A9, MMP3, NOV, PKM, OGN, SERPINE1, LOXL1, PFKP, MYH9, MMP13, FLNB, MMP12, FLNA, BGN, F3, VCAN, TGFB1I1, SSC5D, ADAMTS4, FGFR2, TNC, ELN, VIM, DCN, TIMP3, TIMP1, LAMB2, TGM2, THBS1, COL8A1, TUBB4B, PLAT, LPL, COL4A1, LGALS3, LGALS1, FBN1, LMNA, COL15A1, COL5A3, COL5A2, COL5A1, PLSCR1, VWF, FBLN1, LAMA5, MYH9L1, FBLN5, BMP7, DMBT1"	1240	254	18520	3.410464821	2.11E-13	4.22E-14	5.00E-13
