Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005615~extracellular space	31	15.8974359	1.15E-05	"HFE2, S100A8, EAR11, S100A9, MMP8, PLBD1, HP, PCOLCE, WFDC21, CCL21, FAS, LBP, NRG1, PCSK6, B4GALT1, STX2, AIFM2, C4B, PRG4, RGD1309079, ANXA5, ACPP, LCN2, ORM1, TNFRSF9, CD36, ITGA5, TFPI, CP, DMBT1, ADAMTS4"	182	1316	18520	2.397040649	0.002611385	0.002611385	0.014735722
GOTERM_BP_DIRECT	GO:0042981~regulation of apoptotic process	10	5.128205128	5.08E-05	"TNFRSF9, TNFRSF1B, RASSF6, SGK2, NME1, ANP32A, TRIM24, FAS, LRP5, DAPK1"	175	170	17535	5.894117647	0.066024916	0.066024916	0.083286912
GOTERM_BP_DIRECT	GO:0071347~cellular response to interleukin-1	8	4.102564103	5.44E-05	"LCN2, CCL21, P2RY2, IRF1, TFPI, MAPK9, ADAMTS12, FAS"	175	98	17535	8.179591837	0.070474498	0.035880971	0.089107246
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	76	38.97435897	8.62E-05	"TSPO, S100A8, TUBB2B, HIP1R, NUAK1, TUBB2A, HPS3, PGD, S100A9, RNPEPL1, ACSS2, SLC7A5, RGD1305464, KANK2, IL17RB, CAMKK2, GPX2, ATAT1, ITIH4, ANP32A, SYNJ2, SRD5A1, FAS, PAK1, NRG1, AGAP3, SULT2A6, SGK2, AIFM2, BST2, STXBP1, ESPL1, GAN, ARNTL, MID1IP1, CLPX, FARP2, DAPK1, G6PD, BTG1, NME1, MAPK4, ERN1, MAPK9, ARL4D, CHKA, C9, EAR11, RGD1304810, SULT4A1, DDHD1, PTK2B, HJURP, PTK6, FASN, GAPDH, DIXDC1, TRIM24, ANXA5, P2RX5, IKBKE, ATF4, NXN, ITGA5, ULK1, HEBP2, ETS2, SVIL, IRF1, HSPA4L, FABP4, GRK5, RAB38, PSAT1, DNM1, DMBT1"	182	5227	18520	1.479553544	0.019382998	0.009738922	0.110252818
GOTERM_BP_DIRECT	GO:0032496~response to lipopolysaccharide	12	6.153846154	1.14E-04	"TNFRSF9, ORM1, TNFRSF1B, S100A8, WFDC21, CYP2C7, S100A9, TFPI, ABCC3, HP, LBP, FAS"	175	280	17535	4.294285714	0.142200164	0.049843115	0.186929195
UP_KEYWORDS	Lipid metabolism	12	6.153846154	1.36E-04	"SULT4A1, CHKA, SULT2A6, SCD2, DHCR7, INSIG1, PLBD1, FASN, MID1IP1, ELOVL6, GPAM, ACSL5"	193	306	20793	4.224931423	0.027314375	0.027314375	0.170562873
GOTERM_CC_DIRECT	GO:0016324~apical plasma membrane	12	6.153846154	2.65E-04	"TCIRG1, CD36, BST2, HIP1R, P2RY2, PSEN2, FAS, SLC39A4, NRG1, TJP3, ITPK1, SLC7A5"	182	313	18520	3.901274444	0.058317052	0.019829632	0.338070776
KEGG_PATHWAY	rno04920:Adipocytokine signaling pathway	7	3.58974359	2.89E-04	"TNFRSF1B, IRS3, CD36, MAPK9, RGD1565355, ACSL5, CAMKK2"	96	75	7780	7.563888889	0.052615162	0.052615162	0.357646946
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	44	22.56410256	4.39E-04	"TSPO, RNF11L1, C9, TM7SF3, S100A8, TUBB2A, EFNA1, EAR11, S100A9, PGD, HP, SLC7A5, PCOLCE, GPX2, FASN, ITIH4, GALE, FAS, LBP, SLC39A4, GAPDH, PPP2R1B, B4GALT1, STX2, BST2, C4B, STXBP1, ANXA5, APPL2, ACPP, LCN2, CBLC, ORM1, G6PD, NME1, HEBP2, H2AFY2, DSC2, FABP4, CP, PSAT1, SNX12, DNM1, DMBT1"	182	2646	18520	1.692124957	0.094839893	0.024603144	0.560008617
UP_KEYWORDS	Lipid biosynthesis	7	3.58974359	7.01E-04	"CHKA, SCD2, DHCR7, FASN, MID1IP1, ELOVL6, GPAM"	193	115	20793	6.55782834	0.133293659	0.069029356	0.877917819
UP_KEYWORDS	Phosphoprotein	57	29.23076923	7.57E-04	"HFE2, TUBB2B, RGD1311739, TUBB2A, PDLIM4, PGD, S100A9, SLC7A5, MBP, CAMKK2, ATAT1, ANP32A, SYNJ2, FAS, PAK1, SGK2, STX2, MICAL2, STXBP1, MID1IP1, ARNTL, WDR91, CLPX, RGD1304694, G6PD, NME1, BTG1, MAPK4, PSEN2, MAPK9, GPAM, CHKA, PCOLCE, SULT4A1, TNFRSF1B, PTK2B, FASN, GAPDH, HCN3, DIXDC1, PHACTR2, DLAT, ANXA5, CBLC, ATF4, RASSF6, KCNN2, IRF1, HSPA4L, ABCC3, FABP4, HEPH, GRK5, DNM1, TMEM176B, TMEM176A, DMBT1"	193	4047	20793	1.517404948	0.143195861	0.050210891	0.948101032
GOTERM_BP_DIRECT	GO:0042493~response to drug	15	7.692307692	8.11E-04	"TSPO, GSTA3, GNA12, CYP2C7, HP, LCN2, ORM1, CD36, NME1, PTK2B, MAPK9, FABP4, SRD5A1, GRK5, FAS"	175	528	17535	2.846590909	0.664066876	0.238687068	1.321837118
UP_KEYWORDS	Innate immunity	7	3.58974359	9.55E-04	"LCN2, C9, BST2, S100A8, S100A9, IRF1, LBP"	193	122	20793	6.181559501	0.177090738	0.047559208	1.194236665
UP_KEYWORDS	Glycoprotein	35	17.94871795	0.001009998	"C9, TM7SF3, HFE2, EFNA1, EAR11, MMP8, PLBD1, HP, SLC7A5, PCOLCE, TMEM140, TNFRSF1B, P2RY2, FAS, SLCO3A1, LBP, ELOVL6, SLC39A4, NRG1, PCSK6, HCN3, BST2, ACPP, NCR3, LCN2, P2RX5, ORM1, CD36, PRLR, ABCC3, TFPI, HEPH, CP, DMBT1, ADAMTS4"	193	2123	20793	1.776142862	0.186283862	0.040390396	1.262634806
UP_KEYWORDS	Immunity	9	4.615384615	0.001035763	"LCN2, C9, BST2, S100A8, PTK2B, S100A9, IRF1, HP, LBP"	193	220	20793	4.407371644	0.190553885	0.034620682	1.294651344
GOTERM_BP_DIRECT	GO:0006915~apoptotic process	12	6.153846154	0.001095671	"TNFRSF9, ZFP385A, RASSF6, S100A8, HIP1R, S100A9, IRF1, GRK5, PAK1, FAS, GAPDH, DAPK1"	175	366	17535	3.285245902	0.770852469	0.255228522	1.781240067
UP_KEYWORDS	Transferase	25	12.82051282	0.001106562	"CHKA, NUAK1, CAMKK2, SULT4A1, ATAT1, PTK2B, PTK6, FASN, ELOVL6, PAK1, GAPDH, B4GALT1, SULT2A6, GSTA3, SGK2, DLAT, IKBKE, NME1, ULK1, MAPK4, ERN1, MAPK9, GRK5, PSAT1, GPAM"	193	1316	20793	2.04665181	0.202173049	0.031751222	1.382580716
GOTERM_BP_DIRECT	GO:0060416~response to growth hormone	4	2.051282051	0.001119845	"CD36, IRF1, SRD5A1, HP"	175	21	17535	19.08571429	0.778185684	0.221966562	1.820201333
GOTERM_CC_DIRECT	GO:0045121~membrane raft	10	5.128205128	0.001250054	"PPP2R1B, CBLC, TNFRSF1B, CD36, BST2, STX2, PTK2B, TLR1, SYNJ2, FAS"	182	266	18520	3.82549781	0.247188033	0.055205617	1.587526098
GOTERM_BP_DIRECT	GO:0071222~cellular response to lipopolysaccharide	8	4.102564103	0.001400442	"LCN2, TNFRSF1B, TSPO, CD36, P2RY2, TFPI, MAPK9, LBP"	175	167	17535	4.8	0.847944956	0.235912709	2.271385587
INTERPRO	IPR011009:Protein kinase-like domain	14	7.179487179	0.001815982	"CHKA, SGK2, NUAK1, CAMKK2, DAPK1, IKBKE, PTK2B, ULK1, PTK6, MAPK4, ERN1, MAPK9, GRK5, PAK1"	183	540	19384	2.746164744	0.612091867	0.612091867	2.59825406
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	12	6.153846154	0.001827423	"CORO1C, DIXDC1, ATAT1, PTK2B, ITGA5, SVIL, GNA12, SNTB1, GRK5, PAK1, ANXA5, PARVB"	182	396	18520	3.083583084	0.339794761	0.06686067	2.312892841
GOTERM_BP_DIRECT	GO:0071356~cellular response to tumor necrosis factor	7	3.58974359	0.002125432	"LCN2, CCL21, IRF1, MAPK9, FABP4, ADAMTS12, FAS"	175	133	17535	5.273684211	0.942709496	0.300544112	3.428132588
GOTERM_BP_DIRECT	GO:0042127~regulation of cell proliferation	9	4.615384615	0.002356827	"B4GALT1, TNFRSF9, TNFRSF1B, SGK2, PRG4, PTK6, DHCR7, IRF1, FAS"	175	234	17535	3.853846154	0.958051542	0.296978764	3.794616165
GOTERM_BP_DIRECT	GO:0046777~protein autophosphorylation	8	4.102564103	0.002586379	"ULK1, PTK6, ERN1, TRIM24, GRK5, PAK1, CAMKK2, DAPK1"	175	186	17535	4.309677419	0.969210945	0.293943208	4.156890448
INTERPRO	"IPR000719:Protein kinase, catalytic domain"	13	6.666666667	0.002727972	"SGK2, NUAK1, DAPK1, CAMKK2, IKBKE, ULK1, PTK2B, PTK6, MAPK4, ERN1, MAPK9, PAK1, GRK5"	183	499	19384	2.759529989	0.759061955	0.509145597	3.879263921
GOTERM_BP_DIRECT	GO:0000165~MAPK cascade	6	3.076923077	0.002805941	"PTK2B, EFNA1, MAPK4, MAPK9, PAK1, NRG1"	175	97	17535	6.197938144	0.977096966	0.290586636	4.502200594
GOTERM_CC_DIRECT	GO:0043231~intracellular membrane-bounded organelle	16	8.205128205	0.003161243	"EVA1A, TSPO, IRS3, HIP1R, PGD, CYP2C7, ARNTL, ACSS2, SLC7A5, CD36, G6PD, DHCR7, CES2A, SRD5A1, RPIA, GAPDH"	182	688	18520	2.366470739	0.512633443	0.097581561	3.969808477
INTERPRO	"IPR017441:Protein kinase, ATP binding site"	11	5.641025641	0.003174154	"IKBKE, SGK2, PTK2B, NUAK1, ULK1, PTK6, MAPK4, GRK5, PAK1, CAMKK2, DAPK1"	183	379	19384	3.074296754	0.809168543	0.424272923	4.500256146
KEGG_PATHWAY	rno01200:Carbon metabolism	7	3.58974359	0.003521706	"G6PD, PGD, DLAT, RPIA, ACSS2, PSAT1, GAPDH"	96	121	7780	4.688360882	0.483004613	0.280976087	4.278941465
GOTERM_MF_DIRECT	GO:0008144~drug binding	6	3.076923077	0.003996788	"P2RX5, CHKA, ORM1, GSTA3, FASN, RARB"	155	113	16650	5.703682558	0.782558927	0.782558927	5.395337188
UP_KEYWORDS	Kinase	14	7.179487179	0.004436262	"CHKA, SGK2, NUAK1, CAMKK2, IKBKE, NME1, PTK2B, ULK1, PTK6, MAPK4, ERN1, MAPK9, GRK5, PAK1"	193	609	20793	2.476683938	0.596270767	0.107185419	5.437417806
KEGG_PATHWAY	rno04152:AMPK signaling pathway	7	3.58974359	0.004468543	"PPP2R1B, SCD2, IRS3, CD36, FASN, RGD1565355, CAMKK2"	96	127	7780	4.466863517	0.567204551	0.243583672	5.400298738
GOTERM_BP_DIRECT	GO:0098869~cellular oxidant detoxification	5	2.564102564	0.004904824	"GPX2, NXN, S100A8, S100A9, HP"	175	69	17535	7.260869565	0.998650881	0.423449282	7.744708942
GOTERM_MF_DIRECT	GO:0050661~NADP binding	4	2.051282051	0.005164227	"G6PD, DHCR7, PGD, GAPDH"	155	38	16650	11.30730051	0.860914799	0.627058716	6.919546919
SMART	SM00220:S_TKc	11	5.641025641	0.005531399	"IKBKE, SGK2, NUAK1, ULK1, MAPK4, ERN1, MAPK9, GRK5, PAK1, CAMKK2, DAPK1"	102	374	9680	2.791234141	0.500098513	0.500098513	6.212940365
GOTERM_CC_DIRECT	GO:0072562~blood microparticle	6	3.076923077	0.006070428	"ORM1, C9, C4B, ITIH4, HP, CP"	182	118	18520	5.174147886	0.748970964	0.158671706	7.494210063
GOTERM_BP_DIRECT	GO:0006953~acute-phase response	4	2.051282051	0.006278897	"ORM1, ITIH4, HP, LBP"	175	38	17535	10.54736842	0.999789377	0.478573964	9.811171098
UP_KEYWORDS	Disulfide bond	33	16.92307692	0.006310427	"C9, HFE2, EFNA1, PLXNA2, EAR11, MMP8, PLBD1, HP, SLC7A5, PCOLCE, TNFRSF1B, P2RY2, PRSS32, FAS, SLCO3A1, LBP, ADAMTS12, NRG1, BST2, C4B, ACPP, NCR3, LCN2, P2RX5, ORM1, CD36, PRLR, TFPI, HEPH, CP, LRP5, ADAMTS4, DMBT1"	193	2199	20793	1.616771165	0.725115995	0.133670158	7.651666231
UP_KEYWORDS	Oxidoreductase	12	6.153846154	0.006445378	"GPX2, SCD2, G6PD, DHCR7, MICAL2, PGD, CYP2C7, FASN, HEPH, SRD5A1, CP, GAPDH"	193	494	20793	2.617062785	0.732627603	0.123581257	7.809248839
GOTERM_BP_DIRECT	GO:0043065~positive regulation of apoptotic process	10	5.128205128	0.00668431	"B4GALT1, ATF4, TSPO, RASSF6, AIFM2, PSEN2, MAPK9, RARB, FAS, ANXA5"	175	338	17535	2.964497041	0.99987829	0.474732684	10.41251607
GOTERM_BP_DIRECT	GO:0070542~response to fatty acid	4	2.051282051	0.006753183	"SCD2, CD36, INSIG1, MBP"	175	39	17535	10.27692308	0.99988912	0.455091575	10.51429961
GOTERM_BP_DIRECT	GO:0006098~pentose-phosphate shunt	3	1.538461538	0.007106904	"G6PD, PGD, RPIA"	175	13	17535	23.12307692	0.999931301	0.450700473	11.03533739
UP_KEYWORDS	Antioxidant	3	1.538461538	0.007175361	"S100A8, S100A9, HP"	193	14	20793	23.08623242	0.769856069	0.125016311	8.65736697
GOTERM_BP_DIRECT	GO:0033209~tumor necrosis factor-mediated signaling pathway	4	2.051282051	0.007248219	"TNFRSF9, TNFRSF1B, PTK2B, FAS"	175	40	17535	10.02	0.999943263	0.437364072	11.24269931
GOTERM_CC_DIRECT	GO:0009986~cell surface	14	7.179487179	0.00724996	"B4GALT1, STX2, BST2, HFE2, TSPAN14, IL17RB, CD36, PRLR, ITGA5, KCNN2, TFPI, FAS, LBP, PCSK6"	182	612	18520	2.327802916	0.808283131	0.167669916	8.888897406
GOTERM_BP_DIRECT	GO:0032869~cellular response to insulin stimulus	6	3.076923077	0.007662448	"CD36, INSIG1, SRD5A1, PAK1, GPAM, ACSL5"	175	123	17535	4.887804878	0.999967621	0.436919485	11.84791506
UP_KEYWORDS	NADP	6	3.076923077	0.008665678	"G6PD, DHCR7, MICAL2, PGD, FASN, SRD5A1"	193	136	20793	4.753047851	0.830601682	0.137533124	10.3666133
GOTERM_BP_DIRECT	GO:0043434~response to peptide hormone	6	3.076923077	0.009310813	"BTG1, CYP2C7, INSIG1, TRIM24, FAS, LRP5"	175	129	17535	4.660465116	0.999996533	0.484028025	14.2181083
GOTERM_BP_DIRECT	GO:0006811~ion transport	4	2.051282051	0.009439895	"LCN2, TSPO, KCNN2, SLCO3A1"	175	44	17535	9.109090909	0.99999709	0.471321134	14.40116661
GOTERM_MF_DIRECT	GO:0016209~antioxidant activity	3	1.538461538	0.01055305	"S100A8, S100A9, HP"	155	17	16650	18.95635674	0.982439052	0.740074244	13.66442554
INTERPRO	"IPR008271:Serine/threonine-protein kinase, active site"	9	4.615384615	0.010718565	"SGK2, NUAK1, ULK1, MAPK4, ERN1, MAPK9, PAK1, CAMKK2, DAPK1"	183	319	19384	2.988437227	0.996355428	0.754296337	14.45113736
GOTERM_CC_DIRECT	GO:0043209~myelin sheath	7	3.58974359	0.011374143	"NME1, STXBP1, SRD5A1, DLAT, GAPDH, DNM1, MBP"	182	191	18520	3.729359646	0.925482886	0.228695966	13.61442271
GOTERM_BP_DIRECT	GO:0030154~cell differentiation	10	5.128205128	0.011924747	"STX2, PTK2B, PTK6, DHCR7, ETS2, GNA12, SRD5A1, SLC7A5, TMEM176B, DMBT1"	175	371	17535	2.700808625	0.999999901	0.535953596	17.85437664
GOTERM_BP_DIRECT	GO:0010976~positive regulation of neuron projection development	6	3.076923077	0.012939214	"PTK2B, NME1, PTK6, P2RY2, S100A9, NRG1"	175	140	17535	4.294285714	0.999999975	0.54870179	19.22622044
UP_KEYWORDS	Endoplasmic reticulum	13	6.666666667	0.012946513	"REEP6, JPH4, TMEM97, SCD2, CYP2C7, DHCR7, INSIG1, PSEN2, ANP32A, SRD5A1, ELOVL6, TM6SF2, ACSL5"	193	621	20793	2.255337789	0.929935161	0.184934862	15.1139348
GOTERM_BP_DIRECT	GO:0055114~oxidation-reduction process	14	7.179487179	0.013135789	"SCD2, AIFM2, MICAL2, PGD, CYP2C7, RGD1304810, GPX2, G6PD, DHCR7, FASN, SRD5A1, HEPH, CP, GAPDH"	175	651	17535	2.15483871	0.999999981	0.538222916	19.48954408
UP_KEYWORDS	Cytoplasm	34	17.43589744	0.013264783	"CHKA, TUBB2B, S100A8, TUBB2A, S100A9, PGD, SLC7A5, CAMKK2, GPX2, SULT4A1, ATAT1, PTK2B, FASN, ANP32A, SYNJ2, PAK1, GAPDH, DIXDC1, SULT2A6, GSTA3, SGK2, BST2, STXBP1, MID1IP1, ARNTL, ATF4, NME1, MAPK4, IRF1, HSPA4L, MAPK9, FABP4, GRK5, DNM1"	193	2410	20793	1.519923462	0.934396321	0.176819884	15.4574733
UP_KEYWORDS	Apoptosis	8	4.102564103	0.01386266	"LCN2, RASSF6, S100A8, S100A9, GRK5, PAK1, FAS, GAPDH"	193	274	20793	3.145569381	0.942026394	0.172917774	16.09935965
KEGG_PATHWAY	rno03320:PPAR signaling pathway	5	2.564102564	0.014324134	"SCD2, CD36, FABP4, RGD1565355, ACSL5"	96	77	7780	5.262445887	0.93265878	0.49058674	16.37644368
GOTERM_MF_DIRECT	GO:0005031~tumor necrosis factor-activated receptor activity	3	1.538461538	0.01447875	"TNFRSF9, TNFRSF1B, FAS"	155	20	16650	16.11290323	0.996138612	0.750720905	18.28933151
GOTERM_BP_DIRECT	GO:0032956~regulation of actin cytoskeleton organization	4	2.051282051	0.014871741	"DIXDC1, BST2, HIP1R, PAK1"	175	52	17535	7.707692308	0.999999998	0.567888788	21.78021713
